Smiles,Score
O=C1CCC(=Cc2nc3ccccc3c(=O)[nH]2)N1,0
O=C1C=CC(=O)C(c2cccc3cccnc23)=C1,8.232863903
c1cnc2c(c1)ccn2-c1ccon1,8.784907341
c1ccc(-c2cccnn2)cc1,9.201943398
C=C1C=CC(c2ccc(=O)[nH]c2)=N1,0
O=c1ccc(-c2nc(=O)c3ccccc3[nH]2)c[nH]1,8.126554489
O=C1C=CC(=O)C(c2cccnc2)=C1,8.271177292
C=C1CCCCC1n1cnc2c(=O)[nH]cnc21,8.106257915
BrCc1ccn[nH]1,8.796246052
C=[SH]C1=CCCCO1,0
c1ncc2cc(N3CCSC3)ccc2n1,0
N=Nc1cnc2ccccc2n1,0
SCC1Cc2ccccc2C1,8.566270113
O=C1C=CC(c2ncon2)CC1,7.556406498
C1=COCC(c2csc3ccccc23)C1,0
O=C1CCCCC1c1ncon1,8.595419645
O=c1[nH]c2nc[nH]c2c(=O)n1-c1cnn2cccnc12,0
O=[PH]([O-])c1cc2n3c1=Cc1ccc4n1[Fe]31N3C(=CCC3=CC3=CCC(=C4)N31)C=2,0
C=c1cc2n3c1=Cc1ccc4n1[Fe]31n3c(cc(=C[PH](=O)[O-])c3=C2)C=c2ccc(n21)=C4,0
c1cc2cc(c1)Cc1cccc(c1)Cc1cccc(c1)Cc1cccc(c1)Cc1cccc(c1-c1ccc[nH]1)Cc1cccc(c1)Cc1cccc(c1)Cc1cccc(c1)C2,0
O=C1CC2=C(c3ncc4ccsc4n3)CCC(C2)CC2C1CCC1OCC12,0
O=C1CCCC(C2CC3COC2OC2CCC(OC2)OC2CCC(OC2)OC2CCC(OC2)OC2CCC(OC2)OC2CCC(OC2)O3)C1,0
C=c1cc2n3c1=Cc1cc(P(=O)([O-])[O-])c4n1[Fe]31n3c(cc(=C)c3=C2)C=c2ccc(n21)=C4,0
c1cc2cn[nH]c2cc1C1CC2COC1OC1CCC(OC1)OC1CCC(OC1)OC1CCC(OC1)OC1CCC(OC1)OC1CCC(OC1)O2,0
C1CNC(C2CC3OCC2OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)O3)C1,0
[N-]=[N+]=NC1CNCCNCCNCCN1,0
C=c1cc2n3c1=Cc1c(-c4ncccn4)cc4n1[Fe]31n3c(cc(=C)c3=C2)C=c2ccc(n21)=C4,0
O=C1C2=CC3C(=O)C=CCC3CC2Cc2c1cccc2-c1cnc2ncncc2n1,0
C=c1cc2n3c1=Cc1ccc4n1[Fe]31n3c(c(C5CCC6C5CCC5C7CCC(=O)C=C7CCC56)c(=C)c3=C2)C=c2ccc(n21)=C4,0
O=c1[nH]c2c(c(=O)[nH]1)Nc1ccccc1N2c1cnn[nH]1,0
CC(O)C1Cc2cc3ccc(cc4nc(cc5cc6c([nH]5)c(c1n2)CC6=O)CC4)[nH]3,0
c1cc2[nH]c1Cc1ccc([nH]1)Cc1cc(N3CCOCC3)c([nH]1)Cc1ccc([nH]1)C2,6.193191528
C=c1cc2n3c1=Cc1ccc4n1[Fe]31n3c(cc(=C)c3=C2)C=c2cc(N)c(n21)=C4,0
O=C1C=C(C2=CCOC3Nc4nc[nH]c(=O)c4NC23)CO1,0
C=C1CCCC2C1CCC2P(=O)([O-])[O-],0
C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)C=C4)n3C1C=C2C=C3CC=C4C=c5ccc6n5[Fe]5(N43)N2C1=Cc1ccc(n15)C=6,0
C=C1CCC(c2ncnc3nc[nH]c23)CC1=C,3.791512012
C1=COCC(C23CCCC2C2CCc4ccccc4C2CC3)C1,0
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3C1CC2COC1OC1CCC(OC1)OC1CCC(OC1)OC1CCC(OC1)OC1CCC(OC1)OC1CCC(OC1)OC1CCC(OC1)O2,0
c1cc(-c2cncs2)ncn1,8.933980465
O=C1CCCCOC(=O)CCC(c2ccc3[nH]ncc3c2)CCCC1,6.245035172
O=C1CC2=C(c3cnn4cccnc34)CCC(C2)CC2C1CCC1OCC12,0
c1ccc2c(c1)CCC1C2CCC2C1CCC2n1cnc2cncnc21,0
O=C1c2ccccc2C(=O)c2c1cccc2-c1cc2cc3nc(cc4cc5c([nH]4)c(c4nc(cc1[nH]2)CC4)CC5=O)CC3,0
NC(=[NH2+])B(O)O,0
O=C1c2ccccc2C(=O)N1c1cccc2[nH]cnc12,8.752189636
c1cc(-c2ccc3nc[nH]c3c2)cnn1,8.760229111
C[NH+](C)[n+]1ccccc1,0
CC(C)n1cnc2c(=O)nc[nH]c21,8.980043888
